vipper_131 (04/23/07  8:43:12 PM): hello 
14 yr old girl(04/26/07  4:58:36 PM): u dated lots of girls?
14 yr old girl(04/26/07  5:00:29 PM): where did u go?
14 yr old girl(04/26/07  5:05:03 PM): where did u go?
vipper_131 (04/26/07  5:14:16 PM): ok sory needed a mnt dew
14 yr old girl(04/26/07  5:14:22 PM): lol
vipper_131 (04/26/07  5:14:23 PM): nope
14 yr old girl(04/26/07  5:14:23 PM): its ok
14 yr old girl(04/26/07  5:14:26 PM): just thought u got bored
vipper_131 (04/26/07  5:14:30 PM): well like 9
vipper_131 (04/26/07  5:14:35 PM): lol no 
14 yr old girl(04/26/07  5:14:36 PM): lol
14 yr old girl(04/26/07  5:14:59 PM): u had 9 gfs?
vipper_131 (04/26/07  5:15:03 PM): ya
14 yr old girl(04/26/07  5:15:08 PM): wow
vipper_131 (04/26/07  5:15:24 PM): is that alot
14 yr old girl(04/26/07  5:15:38 PM): well idk not like a ton but its a few
vipper_131 (04/26/07  5:15:39 PM): what do u think of anal sex
vipper_131 (04/26/07  5:15:55 PM): its only 1 every other year lol 
14 yr old girl(04/26/07  5:16:33 PM): well i think it would hurt a lot!
vipper_131 (04/26/07  5:16:48 PM): lol not realy the thing to do is finger ur ass <span class="code_c">(<i>damn he is tactful too!</i>)
vipper_131 (04/26/07  5:16:51 PM): befor u do 
14 yr old girl(04/26/07  5:16:57 PM): is it stinky?
vipper_131 (04/26/07  5:17:03 PM): im thick 
14 yr old girl(04/26/07  5:17:37 PM): wats thick?
vipper_131 (04/26/07  5:18:01 PM): my cock 
14 yr old girl(04/26/07  5:18:06 PM): lol i thought u meant ur finger 
vipper_131 (04/26/07  5:18:32 PM): lol u wana c it <span class="code_c">(<i>noooooo!!!!!
</i>)14 yr old girl(04/26/07  5:18:33 PM): ur turn to ask a question
14 yr old girl(04/26/07  5:19:09 PM): yah u can show me if u want
vipper_131 (04/26/07  5:19:40 PM): whmm 
vipper_131 (04/26/07  5:19:46 PM): can u show me u naked 
14 yr old girl(04/26/07  5:19:54 PM): im srry but i aint got no  naked ones
vipper_131 (04/26/07  5:20:14 PM): hmm can u take some
14 yr old girl(04/26/07  5:20:19 PM): lol noooo
vipper_131 (04/26/07  5:20:24 PM): y not
14 yr old girl(04/26/07  5:20:49 PM): i aint puttin no naked pics on here
vipper_131 (04/26/07  5:20:56 PM): hmm just for me
vipper_131 (04/26/07  5:21:01 PM): then deleat them 
14 yr old girl(04/26/07  5:21:14 PM): if u got mad at me u could like post th em and get me in trouble
vipper_131 (04/26/07  5:21:33 PM): i  dont no how to put them on my yahoo lol my frends have to lol 
vipper_131 (04/26/07  5:21:37 PM): so how am i gana 
14 yr old girl(04/26/07  5:21:55 PM): well u could tell them to
vipper_131 (04/26/07  5:22:00 PM): i dont do that 
vipper_131 (04/26/07  5:22:07 PM): thats mesed and i whould go to jail 
14 yr old girl(04/26/07  5:22:29 PM): well i just dont feel rite 
14 yr old girl(04/26/07  5:22:34 PM): and my dad has the digi
vipper_131 (04/26/07  5:22:38 PM): hmm 
vipper_131 (04/26/07  5:22:39 PM): dang 
14 yr old girl(04/26/07  5:22:42 PM): he only lets me use it sumtimes
vipper_131 (04/26/07  5:22:46 PM): hmm 
vipper_131 (04/26/07  5:24:04 PM): brb
14 yr old girl(04/26/07  5:24:07 PM): k
vipper_131 (04/26/07  5:36:27 PM): think of any qwestions for me 
14 yr old girl(04/26/07  5:37:14 PM): do u have bros and sis?
vipper_131 (04/26/07  5:37:21 PM): nope only kid
14 yr old girl(04/26/07  5:37:29 PM): me too
vipper_131 (04/26/07  5:37:54 PM): hmm 
14 yr old girl(04/26/07  5:38:01 PM): hmmm
14 yr old girl(04/26/07  5:38:08 PM): u dont have anything u like to do for fun?
vipper_131 (04/26/07  5:38:15 PM): camping 
vipper_131 (04/26/07  5:38:20 PM): driving my car and sex
14 yr old girl(04/26/07  5:38:24 PM): lol
14 yr old girl(04/26/07  5:38:27 PM): wat kinda car u got?
vipper_131 (04/26/07  5:38:36 PM): 99 dodge neon 
14 yr old girl(04/26/07  5:38:40 PM): kool
vipper_131 (04/26/07  5:39:03 PM): ya 
14 yr old girl(04/26/07  5:39:22 PM): i cant wait to drive
vipper_131 (04/26/07  5:39:31 PM): lol 
14 yr old girl(04/26/07  5:40:12 PM): my old bf let me drive his lil truck a few times   it was fun
vipper_131 (04/26/07  5:40:35 PM): was it a stick shift
14 yr old girl(04/26/07  5:40:48 PM): no it had the thing on the steering wheel
vipper_131 (04/26/07  5:40:57 PM): o a auto 
14 yr old girl(04/26/07  5:41:27 PM): yep
vipper_131 (04/26/07  5:41:31 PM): hmm 
vipper_131 (04/26/07  5:41:57 PM): so what do u do for fun with a guy 
14 yr old girl(04/26/07  5:42:12 PM): well we go to movies  games   stuff like that
14 yr old girl(04/26/07  5:42:49 PM): how about u?
14 yr old girl(04/26/07  5:42:54 PM): umm with a girl lol
vipper_131 (04/26/07  5:42:58 PM): same but i dont go to movies much 
14 yr old girl(04/26/07  5:43:05 PM): i luv movies
vipper_131 (04/26/07  5:43:09 PM): i like to be outdoors 
vipper_131 (04/26/07  5:43:15 PM): and go to drive in movies
vipper_131 (04/26/07  5:43:23 PM): i have a system in my car 
14 yr old girl(04/26/07  5:43:48 PM): oh yah?
vipper_131 (04/26/07  5:43:53 PM): ya
14 yr old girl(04/26/07  5:43:58 PM): wat town do u live in?
vipper_131 (04/26/07  5:44:04 PM): idaho falls
vipper_131 (04/26/07  5:44:17 PM): i drive simi throu twin and jarome alot
14 yr old girl(04/26/07  5:44:22 PM): kool
vipper_131 (04/26/07  5:44:51 PM): ya so maybe i can stop there so we can meet and u can c the inside of a simi 
14 yr old girl(04/26/07  5:45:05 PM): that would be awesum!!
vipper_131 (04/26/07  5:45:20 PM): whould u wana suck my cock from what u no of me so far<span class="code_c">(<i> shudders</i>)
14 yr old girl(04/26/07  5:45:31 PM): well u seem prtty kool
vipper_131 (04/26/07  5:45:39 PM): so is that a yes
14 yr old girl(04/26/07  5:45:49 PM): i think so
vipper_131 (04/26/07  5:45:51 PM): lol 
vipper_131 (04/26/07  5:46:02 PM): so hmm whould u let me finger u wile u do it
14 yr old girl(04/26/07  5:46:08 PM): yah
vipper_131 (04/26/07  5:46:13 PM): u like to be fingerd
14 yr old girl(04/26/07  5:46:18 PM): it is nice
vipper_131 (04/26/07  5:46:27 PM): did it hurt at first
14 yr old girl(04/26/07  5:46:44 PM): a lil bit
14 yr old girl(04/26/07  5:46:47 PM): but not real bad
vipper_131 (04/26/07  5:47:05 PM): well that  how it fils to  git ur verginity taken but a bit wors
vipper_131 (04/26/07  5:47:06 PM): i ges
14 yr old girl(04/26/07  5:47:15 PM): oh yah?
vipper_131 (04/26/07  5:47:17 PM): ya
vipper_131 (04/26/07  5:47:22 PM): whould u let me take urs
14 yr old girl(04/26/07  5:47:31 PM): well if i liked u and we got along good i mite
vipper_131 (04/26/07  5:47:38 PM): cool 
vipper_131 (04/26/07  5:48:03 PM): hmm any outher qwestions for me
14 yr old girl(04/26/07  5:48:20 PM): hmmm
14 yr old girl(04/26/07  5:48:27 PM): well ur prof says u like pain
14 yr old girl(04/26/07  5:48:31 PM): is that true?
vipper_131 (04/26/07  5:48:34 PM): a lil 
14 yr old girl(04/26/07  5:48:41 PM): wat kinda pain?
vipper_131 (04/26/07  5:48:48 PM): like ruf sex 
vipper_131 (04/26/07  5:48:54 PM): anal sex is good 
14 yr old girl(04/26/07  5:48:56 PM): so wat makes for ruf sex
14 yr old girl(04/26/07  5:49:01 PM): anal sex is ruf sex?
vipper_131 (04/26/07  5:49:03 PM): i like to inforse a lil pain
14 yr old girl(04/26/07  5:49:12 PM): how do u do it?
vipper_131 (04/26/07  5:49:15 PM): no its good sex 
vipper_131 (04/26/07  5:49:19 PM): its real tight
vipper_131 (04/26/07  5:49:23 PM): whit lube 
vipper_131 (04/26/07  5:49:27 PM): whith 
14 yr old girl(04/26/07  5:49:37 PM): so that is wat u mean by ruf sex?
vipper_131 (04/26/07  5:49:57 PM): no sex can be nice and slow or ruff and fast
vipper_131 (04/26/07  5:50:24 PM): i love the girl to git on top and ride me
14 yr old girl(04/26/07  5:50:51 PM): hmm i mite a lil bit shy at first tho
vipper_131 (04/26/07  5:51:01 PM): hmm 
vipper_131 (04/26/07  5:51:11 PM): and if i make the move first and try to kiss u 
vipper_131 (04/26/07  5:51:15 PM): whould that losen u up 
14 yr old girl(04/26/07  5:51:19 PM): yah 
vipper_131 (04/26/07  5:51:28 PM): hmm and rub ur iner thy
14 yr old girl(04/26/07  5:51:34 PM): yah
vipper_131 (04/26/07  5:51:44 PM): and un zip ur pants
14 yr old girl(04/26/07  5:51:54 PM): lol yah im sure it would
vipper_131 (04/26/07  5:52:00 PM): k then 
vipper_131 (04/26/07  5:52:15 PM): whould u git mad if i did that right as soon as i see u in person 
14 yr old girl(04/26/07  5:52:24 PM): well i dont think i would
vipper_131 (04/26/07  5:52:28 PM): cool 
vipper_131 (04/26/07  5:52:34 PM): so who do u live with 
vipper_131 (04/26/07  5:52:41 PM): and how far r u from 
vipper_131 (04/26/07  5:52:46 PM): a parking lot 
14 yr old girl(04/26/07  5:52:54 PM): i live with my dad
vipper_131 (04/26/07  5:53:01 PM): what dose he do for work 
14 yr old girl(04/26/07  5:53:05 PM): well we live in apts so theres a parkin lot rite close
14 yr old girl(04/26/07  5:53:12 PM): he is a nurse and odnt laugh!
vipper_131 (04/26/07  5:53:19 PM): thats cool 
14 yr old girl(04/26/07  5:53:24 PM): lol
vipper_131 (04/26/07  5:53:37 PM): im glad he can 
vipper_131 (04/26/07  5:53:44 PM): i couldnt do it
14 yr old girl(04/26/07  5:53:58 PM): lol
14 yr old girl(04/26/07  5:54:02 PM): he likes it ok
vipper_131 (04/26/07  5:54:07 PM): cool 
vipper_131 (04/26/07  5:54:09 PM): so hmm 
vipper_131 (04/26/07  5:54:16 PM): if i come down monday 
vipper_131 (04/26/07  5:54:19 PM): in the simi <span class="code_c">(<i>this is driving me nuts...SEMI SEMI!!! not simi
</i>)vipper_131 (04/26/07  5:54:39 PM): what time could u c me
14 yr old girl(04/26/07  5:54:46 PM): it would have to be after skool
vipper_131 (04/26/07  5:54:50 PM): which is
14 yr old girl(04/26/07  5:54:54 PM): i would have to make sure he works
14 yr old girl(04/26/07  5:55:02 PM): i usualy get home like around 3
vipper_131 (04/26/07  5:55:02 PM): find out
vipper_131 (04/26/07  5:55:07 PM): k 
14 yr old girl(04/26/07  5:55:09 PM): ok
vipper_131 (04/26/07  5:55:13 PM): do u cyber
vipper_131 (04/26/07  5:55:17 PM): and finger urself
14 yr old girl(04/26/07  5:55:18 PM): nah i dont like it
vipper_131 (04/26/07  5:55:31 PM): hmm 
vipper_131 (04/26/07  5:55:39 PM): evan if i was jacking off on my cam 
14 yr old girl(04/26/07  5:55:58 PM): wel watchin is kool but i dont like sayin stuff or touching myself
vipper_131 (04/26/07  5:56:10 PM): well could u think of stuf to help me
14 yr old girl(04/26/07  5:56:31 PM): like wat? u mean say stuff?  i dont like to im srry
vipper_131 (04/26/07  5:56:40 PM): hmm 
vipper_131 (04/26/07  5:56:41 PM): ok 
vipper_131 (04/26/07  5:56:55 PM): so if i was there right now what whould u wana do if i was hard  <span class="code_c">(<i>i hate when they ask that</i>)
14 yr old girl(04/26/07  5:57:18 PM): well maybe like the stuff we talked about
vipper_131 (04/26/07  5:57:24 PM): which is
14 yr old girl(04/26/07  5:57:29 PM): i aint sayin it lol
14 yr old girl(04/26/07  5:57:39 PM): brb
vipper_131 (04/26/07  5:57:43 PM): y not 
vipper_131 (04/26/07  5:57:45 PM): ok hury 
14 yr old girl(04/26/07  6:03:42 PM): srry i gtg my dad wants to go out to eat
14 yr old girl(04/26/07  6:03:45 PM): i will bbl
vipper_131 (04/26/07  6:03:59 PM): ok send me a offline mesages and qwestions
14 yr old girl(04/26/07  6:04:03 PM): ok cya


14 yr old girl(04/27/07  4:24:10 PM): 8-&gt;
vipper_131 (04/27/07  4:24:50 PM): hay 
vipper_131 (04/27/07  4:24:54 PM): what u dreaming of
14 yr old girl(04/27/07  4:24:56 PM): hiya
14 yr old girl(04/27/07  4:24:57 PM): lol
14 yr old girl(04/27/07  4:24:59 PM): nuffin
14 yr old girl(04/27/07  4:25:17 PM): wat r u up  to?
vipper_131 (04/27/07  4:25:24 PM): 5 11
14 yr old girl(04/27/07  4:25:33 PM): lol
14 yr old girl(04/27/07  4:25:37 PM): im about 52
14 yr old girl(04/27/07  4:25:41 PM): umm 5  2
vipper_131 (04/27/07  4:25:57 PM): nice
14 yr old girl(04/27/07  4:26:17 PM): u been havin a good day?
vipper_131 (04/27/07  4:26:29 PM): lol i ges i been sleppen
14 yr old girl(04/27/07  4:26:51 PM): u goin out tonight to party?
vipper_131 (04/27/07  4:27:01 PM): dontno
14 yr old girl(04/27/07  4:27:09 PM): at least u could if u wanted to
vipper_131 (04/27/07  4:27:11 PM): dont u live in twin area
vipper_131 (04/27/07  4:27:14 PM): ya
14 yr old girl(04/27/07  4:27:15 PM): yah
vipper_131 (04/27/07  4:27:18 PM): hmm 
vipper_131 (04/27/07  4:27:23 PM): what if i came  there lol 
14 yr old girl(04/27/07  4:27:32 PM): ha! i wish
vipper_131 (04/27/07  4:27:45 PM): what whould u do 
14 yr old girl(04/27/07  4:27:53 PM): well wat would u wanna do?
vipper_131 (04/27/07  4:28:19 PM): anything u want u tell me 
14 yr old girl(04/27/07  4:28:49 PM): we coujld go see a movie but u would have to go back to TF
vipper_131 (04/27/07  4:29:12 PM): hmm 
14 yr old girl(04/27/07  4:29:50 PM): too borin?
vipper_131 (04/27/07  4:30:02 PM): what els u wana 
14 yr old girl(04/27/07  4:30:11 PM): well i dont care
vipper_131 (04/27/07  4:30:16 PM): u pic
vipper_131 (04/27/07  4:30:22 PM): its all obought u 
vipper_131 (04/27/07  4:30:32 PM): for 2 hrs that ill be there i think monday
14 yr old girl(04/27/07  4:30:43 PM): u rlly wanna come?
vipper_131 (04/27/07  4:30:50 PM): ya
14 yr old girl(04/27/07  4:30:54 PM): ooh kool
14 yr old girl(04/27/07  4:31:09 PM): well if my dad is workin then we can just hang out here
vipper_131 (04/27/07  4:31:16 PM): hmm 
vipper_131 (04/27/07  4:31:19 PM): and do what 
14 yr old girl(04/27/07  4:31:26 PM): well i dont care
vipper_131 (04/27/07  4:31:35 PM): hm 
vipper_131 (04/27/07  4:31:38 PM): u horny
14 yr old girl(04/27/07  4:31:45 PM): lol not rite now
vipper_131 (04/27/07  4:31:53 PM): whould u wana fuck monday 
14 yr old girl(04/27/07  4:32:03 PM): well if u was easy the first time it mite be kool
vipper_131 (04/27/07  4:32:16 PM): well i can use lube 
vipper_131 (04/27/07  4:32:19 PM): it will help
14 yr old girl(04/27/07  4:32:35 PM): would u mind using condoms so i dont get pregnant?
vipper_131 (04/27/07  4:32:45 PM): icant have kids
14 yr old girl(04/27/07  4:32:49 PM): oh yah?
vipper_131 (04/27/07  4:32:51 PM): but ya
vipper_131 (04/27/07  4:32:53 PM): ya
vipper_131 (04/27/07  4:32:56 PM): im streal 
14 yr old girl(04/27/07  4:33:09 PM): well if u wanna bring sum thats kool
14 yr old girl(04/27/07  4:33:22 PM): just in case we decide we need it
vipper_131 (04/27/07  4:33:51 PM): plus i always pull out
14 yr old girl(04/27/07  4:33:58 PM): ok thats kool
vipper_131 (04/27/07  4:34:06 PM): sooo ya 
14 yr old girl(04/27/07  4:34:09 PM): im a lil bit nervous
vipper_131 (04/27/07  4:34:13 PM): y is that 
14 yr old girl(04/27/07  4:34:19 PM): cauz its my first time lol
vipper_131 (04/27/07  4:34:23 PM): lol 
vipper_131 (04/27/07  4:34:24 PM): thats ok 
vipper_131 (04/27/07  4:34:30 PM): i promis ill be nice
14 yr old girl(04/27/07  4:34:44 PM): u seem rlly nice :)
vipper_131 (04/27/07  4:34:51 PM): ty i try 
vipper_131 (04/27/07  4:34:56 PM): so any qwestions for me
14 yr old girl(04/27/07  4:35:19 PM): hmm well wat all lu wanna do?
vipper_131 (04/27/07  4:35:30 PM): lol i wana git laid 
14 yr old girl(04/27/07  4:35:37 PM): u bad boy lol
vipper_131 (04/27/07  4:35:38 PM): and have u suck me lol 
14 yr old girl(04/27/07  4:35:54 PM): i dont know how good i am at that
vipper_131 (04/27/07  4:36:00 PM): thats ok 
vipper_131 (04/27/07  4:36:13 PM): can u deep throught <span class="code_c">(<i>damn I hated him</i>)
14 yr old girl(04/27/07  4:36:21 PM): wats that?
vipper_131 (04/27/07  4:36:54 PM): take the cock deep in ur throught like all the way down 
14 yr old girl(04/27/07  4:37:02 PM): omg dont they gag?
vipper_131 (04/27/07  4:37:21 PM): no not all ppl do 
14 yr old girl(04/27/07  4:37:26 PM): hmmm
14 yr old girl(04/27/07  4:37:29 PM): well i guess i can try it
vipper_131 (04/27/07  4:37:42 PM): cool 
vipper_131 (04/27/07  4:37:47 PM): and anal
14 yr old girl(04/27/07  4:37:56 PM): now that one scares me lol
vipper_131 (04/27/07  4:38:28 PM): y is that 
14 yr old girl(04/27/07  4:38:36 PM): cauz it would hurt
vipper_131 (04/27/07  4:39:00 PM): not realy 
14 yr old girl(04/27/07  4:39:05 PM): u ever had it done to u?
vipper_131 (04/27/07  4:39:07 PM): as long as lube and slow at first
14 yr old girl(04/27/07  4:39:26 PM): u ever had anyone od it to u?
vipper_131 (04/27/07  4:39:49 PM): no
14 yr old girl(04/27/07  4:40:01 PM): so u dont really KNOW it dont hurt lol
vipper_131 (04/27/07  4:40:27 PM): no i no ppl i have done it to
14 yr old girl(04/27/07  4:41:03 PM): hmmm
14 yr old girl(04/27/07  4:41:07 PM): well i mite try it
vipper_131 (04/27/07  4:41:12 PM): well cool 
14 yr old girl(04/27/07  4:41:19 PM): :)
14 yr old girl(04/27/07  4:41:35 PM): Im excited about u comin
vipper_131 (04/27/07  4:41:50 PM): o realy y 
14 yr old girl(04/27/07  4:42:15 PM): cauz we will have fun
vipper_131 (04/27/07  4:42:21 PM): exsplane
14 yr old girl(04/27/07  4:42:49 PM): umm u just seem rlly nice and i aint never rlly did that much and im just excited that u like me
